BUDGET_SECTION	B_UD_GE_T_S_EC_TI_O_N	Budget_Section	BUDGET_SECTION
COST_EXTRA_SECTION	C_OS_T_E_XT_R_A_S_EC_TI_O_N	Cost_Extra_Section	COST_EXTRA_SECTION
COST_POSITIVE_SECTION	C_OS_T_P_OS_IT_IV_E_S_EC_TI_O_N	Cost_Positive_Section	COST_POSITIVE_SECTION
ChaosRelicBudgetCommon	CHAOS_RELIC_BUDGET_COMMON	ChaosRelicBudgetCommon	CHAOS_RELIC_BUDGET_COMMON
ChaosRelicBudgetRare	CHAOS_RELIC_BUDGET_RARE	ChaosRelicBudgetRare	CHAOS_RELIC_BUDGET_RARE
ChaosRelicBudgetUncommon	CHAOS_RELIC_BUDGET_UNCOMMON	ChaosRelicBudgetUncommon	CHAOS_RELIC_BUDGET_UNCOMMON
ChaosRelicMultiplier	CHAOS_RELIC_MULTIPLIER	ChaosRelicMultiplier	CHAOS_RELIC_MULTIPLIER
ChaosRelicNegativeChanceCommon	CHAOS_RELIC_NEGATIVE_CHANCE_COMMON	ChaosRelicNegativeChanceCommon	CHAOS_RELIC_NEGATIVE_CHANCE_COMMON
ChaosRelicNegativeChanceRare	CHAOS_RELIC_NEGATIVE_CHANCE_RARE	ChaosRelicNegativeChanceRare	CHAOS_RELIC_NEGATIVE_CHANCE_RARE
ChaosRelicNegativeChanceUncommon	CHAOS_RELIC_NEGATIVE_CHANCE_UNCOMMON	ChaosRelicNegativeChanceUncommon	CHAOS_RELIC_NEGATIVE_CHANCE_UNCOMMON
Cost_C_START_ARTIFACT	COST_C_S_TA_R_T_A_RT_IF_AC_T	Cost_C_Start_Artifact	COST_C_START_ARTIFACT
Cost_C_START_BLOCK	COST_C_S_TA_R_T_B_LO_C_K	Cost_C_Start_Block	COST_C_START_BLOCK
Cost_C_START_DAMAGE_ALL	COST_C_S_TA_R_T_D_AM_AG_E_A_L_L	Cost_C_Start_Damage_All	COST_C_START_DAMAGE_ALL
Cost_C_START_DEXTERITY	COST_C_S_TA_R_T_D_EX_TE_RI_T_Y	Cost_C_Start_Dexterity	COST_C_START_DEXTERITY
Cost_C_START_DRAW	COST_C_S_TA_R_T_D_RA_W	Cost_C_Start_Draw	COST_C_START_DRAW
Cost_C_START_ENERGY	COST_C_S_TA_R_T_E_NE_RG_Y	Cost_C_Start_Energy	COST_C_START_ENERGY
Cost_C_START_PLATING	COST_C_S_TA_R_T_P_LA_TI_N_G	Cost_C_Start_Plating	COST_C_START_PLATING
Cost_C_START_POISON_ALL	COST_C_S_TA_R_T_P_OI_SO_N_A_L_L	Cost_C_Start_Poison_All	COST_C_START_POISON_ALL
Cost_C_START_REGEN	COST_C_S_TA_R_T_R_EG_E_N	Cost_C_Start_Regen	COST_C_START_REGEN
Cost_C_START_STRENGTH	COST_C_S_TA_R_T_S_TR_EN_GT_H	Cost_C_Start_Strength	COST_C_START_STRENGTH
Cost_C_START_THORNS	COST_C_S_TA_R_T_T_HO_RN_S	Cost_C_Start_Thorns	COST_C_START_THORNS
Cost_C_START_VULN_ALL	COST_C_S_TA_R_T_V_UL_N_A_L_L	Cost_C_Start_Vuln_All	COST_C_START_VULN_ALL
